"Country","Country code","Survey year","Prevalence (%)","Substance","Recall period","Age","Sample size","Males (%)","Females (%)"
"Czechia","CZ",2020,0.5,"Ecstasy","Last month","All adults (15-64)",2701,0.4,0.5
"Czechia","CZ",2020,1.3,"Ecstasy","Last month","Young adults (15-34)",927,1.1,1.6
"Czechia","CZ",2020,2.6,"LSD","Lifetime","All adults (15-64)",2701,3.3,1.9
"Czechia","CZ",2020,5.2,"LSD","Lifetime","Young adults (15-34)",927,6.3,4
"Czechia","CZ",2020,0.8,"LSD","Last year","All adults (15-64)",2701,0.9,0.7
"Czechia","CZ",2020,1.8,"LSD","Last year","Young adults (15-34)",927,2.1,1.6
"Czechia","CZ",2020,0.2,"LSD","Last month","All adults (15-64)",2701,0.3,0.1
"Czechia","CZ",2020,0.4,"LSD","Last month","Young adults (15-34)",927,0.8,0
"Czechia","CZ",2012,84,"Alcohol","Last year","All adults (15-64)",2108,88.8,79.4
"Czechia","CZ",2012,83.8,"Alcohol","Last year","Young adults (15-34)",824,86.2,81.4
"Czechia","CZ",2012,69.9,"Alcohol","Last month","All adults (15-64)",2108,78.4,61.5
"Czechia","CZ",2012,68.8,"Alcohol","Last month","Young adults (15-34)",824,73.7,63.8
"Czechia","CZ",2012,68.3,"Tobacco","Lifetime","All adults (15-64)",2108,75,61.7
"Czechia","CZ",2012,70.4,"Tobacco","Lifetime","Young adults (15-34)",824,72.1,68.6
"Czechia","CZ",2012,40.7,"Tobacco","Last year","All adults (15-64)",2108,46.5,35
"Czechia","CZ",2012,47.1,"Tobacco","Last year","Young adults (15-34)",824,51.3,42.7
"Czechia","CZ",2012,34.4,"Tobacco","Last month","All adults (15-64)",2108,40.3,28.6
"Czechia","CZ",2012,37.2,"Tobacco","Last month","Young adults (15-34)",824,42.5,31.7
"Denmark","DK",2023,37.6,"Cannabis","Lifetime","All adults (15-64)",6550,45.7,29.9
"Denmark","DK",2023,41.7,"Cannabis","Lifetime","Young adults (15-34)",1872,48.1,35.3
"Denmark","DK",2023,6.6,"Cannabis","Last year","All adults (15-64)",6550,9.1,4.3
"Denmark","DK",2023,12.5,"Cannabis","Last year","Young adults (15-34)",1872,15.8,9.3
"Denmark","DK",2023,3.2,"Cannabis","Last month","All adults (15-64)",6550,4.7,1.7
"Denmark","DK",2023,5.6,"Cannabis","Last month","Young adults (15-34)",1872,7.6,3.6
"Denmark","DK",2023,9.4,"Cocaine","Lifetime","All adults (15-64)",6550,13.4,5.5
"Denmark","DK",2023,11.5,"Cocaine","Lifetime","Young adults (15-34)",1872,16.1,6.9
"Denmark","DK",2023,2.1,"Cocaine","Last year","All adults (15-64)",6550,3,1.3
"Denmark","DK",2023,4.2,"Cocaine","Last year","Young adults (15-34)",1872,5.8,2.7
"Denmark","DK",2023,0.7,"Cocaine","Last month","All adults (15-64)",6550,1.3,0.2
"Denmark","DK",2023,1.5,"Cocaine","Last month","Young adults (15-34)",1872,2.6,0.5
"Denmark","DK",2023,7.9,"Amphetamines","Lifetime","All adults (15-64)",6550,11.3,4.8
"Denmark","DK",2023,7,"Amphetamines","Lifetime","Young adults (15-34)",1872,9.5,4.5
"Denmark","DK",2023,0.6,"Amphetamines","Last year","All adults (15-64)",6550,1,0.3
"Denmark","DK",2023,1,"Amphetamines","Last year","Young adults (15-34)",1872,1.5,0.6
"Denmark","DK",2023,0.2,"Amphetamines","Last month","All adults (15-64)",6550,0.4,0
"Denmark","DK",2023,0.2,"Amphetamines","Last month","Young adults (15-34)",1872,0.4,0
"Denmark","DK",2023,5,"Ecstasy","Lifetime","All adults (15-64)",6550,7.2,3
"Denmark","DK",2023,6.9,"Ecstasy","Lifetime","Young adults (15-34)",1872,9.9,4
"Denmark","DK",2023,0.6,"Ecstasy","Last year","All adults (15-64)",6550,0.9,0.3
"Denmark","DK",2023,1.1,"Ecstasy","Last year","Young adults (15-34)",1872,1.6,0.6
"Denmark","DK",2023,0.1,"Ecstasy","Last month","All adults (15-64)",6550,0.1,0
"Denmark","DK",2023,0,"Ecstasy","Last month","Young adults (15-34)",1872,0,0
"Denmark","DK",2023,2.8,"LSD","Lifetime","All adults (15-64)",6550,4.8,0.9
"Denmark","DK",2023,3.5,"LSD","Lifetime","Young adults (15-34)",1872,6.1,1
"Denmark","DK",2023,0.5,"LSD","Last year","All adults (15-64)",6550,0.9,0.1
"Denmark","DK",2023,1.1,"LSD","Last year","Young adults (15-34)",1872,1.8,0.3
"Denmark","DK",2023,0,"LSD","Last month","All adults (15-64)",6550,0.1,0
"Denmark","DK",2023,0,"LSD","Last month","Young adults (15-34)",1872,0,0
"Estonia","EE",2018,24.5,"Cannabis","Lifetime","All adults (15-64)",2234,30.8,20.3
"Estonia","EE",2018,46,"Cannabis","Lifetime","Young adults (15-34)",757,52.5,41.5
"Estonia","EE",2018,6.6,"Cannabis","Last year","All adults (15-64)",2234,9.2,4.8
"Estonia","EE",2018,16.6,"Cannabis","Last year","Young adults (15-34)",757,22.7,12.4
"Estonia","EE",2018,2.3,"Cannabis","Last month","All adults (15-64)",2234,3.5,1.5
"Estonia","EE",2018,5.7,"Cannabis","Last month","Young adults (15-34)",757,9,3.4
"Estonia","EE",2018,5,"Cocaine","Lifetime","All adults (15-64)",2234,7,3.7
"Estonia","EE",2018,8.6,"Cocaine","Lifetime","Young adults (15-34)",757,10.4,7.3
"Estonia","EE",2018,1,"Cocaine","Last year","All adults (15-64)",2234,1.3,0.8
"Estonia","EE",2018,2.8,"Cocaine","Last year","Young adults (15-34)",757,3.2,2.5
"Estonia","EE",2018,0.3,"Cocaine","Last month","All adults (15-64)",2234,0.6,0.1
"Estonia","EE",2018,0.7,"Cocaine","Last month","Young adults (15-34)",757,1.3,0.2
"Estonia","EE",2018,6.1,"Amphetamines","Lifetime","All adults (15-64)",2234,8.6,4.4
"Estonia","EE",2018,9.1,"Amphetamines","Lifetime","Young adults (15-34)",757,12,7.1
"Estonia","EE",2018,0.9,"Amphetamines","Last year","All adults (15-64)",2234,1.7,0.5
"Estonia","EE",2018,2.1,"Amphetamines","Last year","Young adults (15-34)",757,3.9,0.9
"Estonia","EE",2018,0.4,"Amphetamines","Last month","All adults (15-64)",2234,0.9,0.1
"Estonia","EE",2018,0.8,"Amphetamines","Last month","Young adults (15-34)",757,1.9,0
"Estonia","EE",2018,5.4,"Ecstasy","Lifetime","All adults (15-64)",2234,7.5,4
"Estonia","EE",2018,10.9,"Ecstasy","Lifetime","Young adults (15-34)",757,14.4,8.5
"Estonia","EE",2018,1,"Ecstasy","Last year","All adults (15-64)",2234,1.5,0.6
"Estonia","EE",2018,2.5,"Ecstasy","Last year","Young adults (15-34)",757,3.5,1.8
"Estonia","EE",2018,0.2,"Ecstasy","Last month","All adults (15-64)",2234,0.4,0.1
"Estonia","EE",2018,0.5,"Ecstasy","Last month","Young adults (15-34)",757,1,0.2
"Estonia","EE",2018,1.9,"LSD","Lifetime","All adults (15-64)",2234,2.9,1.2
"Estonia","EE",2018,4.2,"LSD","Lifetime","Young adults (15-34)",757,6.7,2.5
"Estonia","EE",2018,0.7,"LSD","Last year","All adults (15-64)",2234,1,0.5
"Estonia","EE",2018,1.7,"LSD","Last year","Young adults (15-34)",757,2.3,1.4
"Estonia","EE",2018,0.1,"LSD","Last month","All adults (15-64)",2234,0.2,0.1
"Estonia","EE",2018,0.1,"LSD","Last month","Young adults (15-34)",757,0,0.2
